,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
1524,28141367,False,,,Rue Louis Delimoy,residential,,120.268,,,"LINESTRING (4.8832703 50.479684, 4.8821552 50.4803578, 4.8820378 50.4804288)",,,,
1525,28141368,True,,,Rue Louis Delimoy,residential,,214.817,,,"LINESTRING (4.8832703 50.479684, 4.8812204 50.4783317, 4.8811626 50.4782936)",,,,
1526,576666690,False,2,,,service,,79.943,,,"LINESTRING (4.8832703 50.479684, 4.8839804 50.4792382, 4.8840746 50.4791791)",,parking_aisle,,
1527,8233619,False,,,Rue Saint-Luc,tertiary,50,4.118,,,"LINESTRING (4.8811626 50.4782936, 4.8812031 50.478267)",,,,
1528,8233619,False,,,Rue Saint-Luc,tertiary,50,71.176,,,"LINESTRING (4.8811626 50.4782936, 4.8810441 50.4783689, 4.880451 50.478746)",,,,
1529,34080367,False,,,Avenue du Parc,residential,,71.604,,,"LINESTRING (4.8843168 50.4832672, 4.8850591 50.4837049)",,,,
1530,28141458,True,,,Avenue du Parc,residential,,12.149,,roundabout,"LINESTRING (4.8843168 50.4832672, 4.8842973 50.4832915, 4.8842667 50.4833107, 4.8842281 50.4833227, 4.8841856 50.4833263)",,,,
1531,34080436,False,,,Rue des Chardonnerets,residential,,87.358,,,"LINESTRING (4.8841856 50.4833263, 4.8837631 50.4840645)",,,,
1532,28141458,True,,,Avenue du Parc,residential,,12.644,,roundabout,"LINESTRING (4.8841856 50.4833263, 4.8841418 50.4833208, 4.8841033 50.4833064, 4.8840744 50.4832847, 4.8840582 50.4832582)",,,,
1533,28141458,True,,,Avenue du Parc,residential,,11.393,,roundabout,"LINESTRING (4.8840668 50.4832071, 4.8840883 50.4831854, 4.8841189 50.4831688, 4.8841559 50.4831588, 4.884196 50.4831562)",,,,
1534,28141462,True,,,Avenue du Parc,residential,,143.347,,,"LINESTRING (4.8840668 50.4832071, 4.8836924 50.482938, 4.8831458 50.482577, 4.8827657 50.4823392, 4.8826576 50.4822823)",,,,
1535,28141458,True,,,Avenue du Parc,residential,,17.273,,roundabout,"LINESTRING (4.884196 50.4831562, 4.8842358 50.4831614, 4.8842714 50.4831739, 4.8842994 50.4831927, 4.8843172 50.483216, 4.8843232 50.4832416, 4.8843168 50.4832672)",,,,
1536,28141461,True,,,Avenue du Parc,residential,,26.001,,roundabout,"LINESTRING (4.8825241 50.4821451, 4.8825557 50.4821239, 4.8825965 50.4821105, 4.882642 50.4821062, 4.8826871 50.4821116, 4.882727 50.4821261, 4.8827573 50.4821481, 4.8827747 50.4821751, 4.8827773 50.4822043)",,,,
