,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
8557,622063631,,,cycleway,,False,91.17099999999999,,"LINESTRING (4.7184242 50.8803946, 4.7183723 50.8804888, 4.7180018 50.88117)",,,,,,
8558,10231010,,IJzerenwegstraat,residential,,True,11.591,,"LINESTRING (4.7165874 50.8834098, 4.7165345 50.8834216, 4.7164316 50.8834445)",,,,,,
8559,794686349,,,cycleway,,True,94.913,,"LINESTRING (4.7165874 50.8834098, 4.7165212 50.8833126, 4.7164947 50.8832279, 4.716511 50.8830993, 4.7165512 50.8830274, 4.7169189 50.8826346)",,,,,,
8560,104502516,,,cycleway,,True,7.666,,"LINESTRING (4.7176048 50.8835432, 4.7176379 50.8836089)",,,,,,
8561,940919064,,,cycleway,,True,35.309,,"LINESTRING (4.7176048 50.8835432, 4.7178545 50.8835401, 4.7180873 50.8836035)",,,,,,
8562,458555388,,,cycleway,,True,15.422,,"LINESTRING (4.7172636 50.8836744, 4.7174326 50.8835857)",,,,,,
8563,104502498,,,cycleway,,True,58.69000000000001,,"LINESTRING (4.7172636 50.8836744, 4.7172526 50.8836517, 4.7172405 50.8836368, 4.7172233 50.8836233, 4.7172057 50.8836123, 4.7171853 50.8836031, 4.7171619 50.8835974, 4.7171367 50.8835935, 4.7169657 50.8835758, 4.7169108 50.8835658, 4.7168629 50.8835514, 4.7168084 50.8835346, 4.7167429 50.8835093, 4.7167014 50.8834915, 4.7166682 50.883472, 4.7166272 50.8834435, 4.7165874 50.8834098)",,,,,,
8564,69250770,,Ernest Solvaystraat,pedestrian,,False,7.438,,"LINESTRING (4.7174391 50.8821798, 4.7173477 50.8821459)",,,,,,
8565,69250770,,Ernest Solvaystraat,pedestrian,,False,17.541,,"LINESTRING (4.7174391 50.8821798, 4.7176451 50.8822692)",,,,,,
8566,458555385,,,cycleway,,False,119.022,,"LINESTRING (4.7174391 50.8821798, 4.7180018 50.88117)",,,,,,
8567,"[284832296, 458555385, 284832294]",,,cycleway,,False,49.84499999999999,,"LINESTRING (4.7174391 50.8821798, 4.7173942 50.8822066, 4.7171747 50.8825298, 4.7171547 50.8825552, 4.71713 50.88258)",,,,,yes,
8568,126304992,,,cycleway,,False,9.398,,"LINESTRING (4.7145565 50.8845283, 4.7146451 50.8845917)",,,,,,
8569,126304992,,,cycleway,,False,9.909,,"LINESTRING (4.7145565 50.8845283, 4.7144673 50.8844592)",,,,,,
8570,125835524,2,Diestsesteenweg,primary,50,True,18.802,N2,"LINESTRING (4.7145565 50.8845283, 4.7144501 50.8845544, 4.7143184 50.8846046)",,,,,,
8571,"[24374720, 131711636]",1,Herendreef,residential,,False,35.641,,"LINESTRING (4.6798049 50.8575797, 4.6797648 50.8576921, 4.6797553 50.8577318, 4.6797389 50.8578181, 4.6797559 50.8578956)",,,,,,
8572,104778398,,,cycleway,,True,231.058,,"LINESTRING (4.6798049 50.8575797, 4.6798057 50.8574707, 4.6805248 50.8557027, 4.6804879 50.8555989, 4.6805215 50.8555683)",,,,,,
8573,131711638,1,Oud-Heverleestraat,residential,50,False,561.812,,"LINESTRING (4.6798049 50.8575797, 4.6797629 50.8575588, 4.6796965 50.8575282, 4.6784528 50.8569897, 4.6780364 50.8568094, 4.6775563 50.8565801, 4.677516 50.8565608, 4.6774892 50.8565473, 4.6771791 50.8563887, 4.6770322 50.8563164, 4.6763971 50.8559262, 4.6758656 50.8553693, 4.6753532 50.8548129, 4.6751956 50.8546401, 4.6745146 50.8539181)",,,,,,
